Gene ID,PF3D7_1343700
Gene,k13
Mutation Name,k13-all350all
ExonicFunc,missense_variant
AA Change,all350all
Targeted,No
KGMI-KYK-004-2023-MSMT-1,8.0
KGKY-RWB-026-2023-MSMT-1,0
KGNG-CVU-164-2023-MSMT-1,0
KGNG-CVU-216-2023-MSMT-1,0
KGBR-BUT-040-2023-MSMT-1,0
KGNG-CVU-217-2023-MSMT-1,0
KGBR-BUT-160-2023-MSMT-1,0
KGNG-NTG-094-2023-MSMT-1,0
KGMU-NSB-037-2023-MSMT-1,0
KGMI-KYK-154-2023-MSMT-1,0
KGKA-BKG-199-2023-MSMT-1,0
KGBR-BUT-255-2023-MSMT-1,0
KGMI-KYK-145-2023-MSMT-1,0
KGMU-NSB-089-2023-MSMT-1,0
KGNG-CVU-005-2023-MSMT-1,0
KGNG-CVU-095-2023-MSMT-1,0
KGMU-NSB-026-2023-MSMT-1,0
KGBR-BUT-260-2023-MSMT-1,0
KGMU-NSB-280-2023-MSMT-1,0
KGMU-NSB-244-2023-MSMT-1,0
KGKY-RWB-080-2023-MSMT-1,0
KGKY-RWB-063-2023-MSMT-1,0
KGMU-NSB-209-2023-MSMT-1,0
KGMU-NSB-066-2023-MSMT-1,0
KGBI-KZB-181-2023-MSMT-1,0
KGMU-NSB-220-2023-MSMT-1,0
KGNG-CVU-124-2023-MSMT-1,0
KGBR-BUT-188-2023-MSMT-1,0
KGNG-NTG-044-2023-MSMT-1,0
KGBR-BUT-289-2023-MSMT-1,0
KGBR-BUT-274-2023-MSMT-1,0
KGNG-NTG-047-2023-MSMT-1,0
KGNG-NTG-168-2023-MSMT-1,0
KGBR-BUT-047-2023-MSMT-1,0
KGBI-KZB-214-2023-MSMT-1,0
KGNG-CVU-044-2023-MSMT-1,0
KGNG-NTG-072-2023-MSMT-1,0
KGBR-BUT-003-2023-MSMT-1,0
KGKA-BKG-183-2023-MSMT-1,0
KGBR-BUT-107-2023-MSMT-1,0
KGMU-NSB-091-2023-MSMT-1,0
KGBR-BUT-001-2023-MSMT-1,0
KGNG-NTG-086-2023-MSMT-1,0
KGBR-BUT-041-2023-MSMT-1,0
KGNG-CVU-103-2023-MSMT-1,0
KGKY-RWB-055-2023-MSMT-1,0
KGNG-CVU-203-2023-MSMT-1,0
KGMU-NSB-222-2023-MSMT-1,0
KGNG-CVU-088-2023-MSMT-1,0
KGNG-NTG-153-2023-MSMT-1,0
KGMU-RSW-155-2023-MSMT-1,0
KGNG-CVU-114-2023-MSMT-1,0
KGBI-KZB-159-2023-MSMT-1,0
KGKA-BKG-203-2023-MSMT-1,0
KGNG-CVU-052-2023-MSMT-1,0
KGMI-KYK-141-2023-MSMT-1,0
KGMU-RSW-186-2023-MSMT-1,0
KGKA-BKG-213-2023-MSMT-1,0
KGNG-CVU-222-2023-MSMT-1,0
KGNG-CVU-056-2023-MSMT-1,0
KGBI-KZB-075-2023-MSMT-1,0
KGMU-NSB-014-2023-MSMT-1,0
KGKY-RUG-120-2023-MSMT-1,0
KGMI-KYK-192-2023-MSMT-1,0
KGNG-CVU-250-2023-MSMT-1,157.0
KGBR-BUT-027-2023-MSMT-1,0
KGMU-RSW-104-2023-MSMT-1,0
KGBR-BUT-277-2023-MSMT-1,0
KGNG-CVU-067-2023-MSMT-1,0
KGNG-NTG-023-2023-MSMT-1,27.0
KGNG-CVU-243-2023-MSMT-1,400.0
KGBR-BUT-206-2023-MSMT-1,0
KGMU-NSB-202-2023-MSMT-1,0
KGNG-CVU-025-2023-MSMT-1,0
KGMU-NSB-232-2023-MSMT-1,0
KGMU-NSB-182-2023-MSMT-1,0
KGMI-KYK-134-2023-MSMT-1,0
KGBR-BUT-099-2023-MSMT-1,0
KGKY-RWB-035-2023-MSMT-1,0
KGBR-BUT-275-2023-MSMT-1,0
KGBI-KZB-060-2023-MSMT-1,0
KGMU-NSB-239-2023-MSMT-1,0
KGMU-NSB-199-2023-MSMT-1,0
